title,passage,url,teaser,date,tier
"Every Nation, One Mountain",Isaiah 66:18–24,https://practicalchristian.substack.com/p/every-nation-one-mountain-isaiah,"God gathers people from every nation to worship him forever, while the fate of the unrepentant remains visible as a lasting warning.",2026-08-29,paid
The Lord Comes in Fire and Sword,Isaiah 66:15–17,https://practicalchristian.substack.com/p/the-lord-comes-in-fire-and-sword,"God’s fiery, sword-wielding judgment falls on all who rebel, sparing no one, not even Israelite idolaters hidden in sacred gardens.",2026-08-29,paid
Joy Where Shame Once Stood,Isaiah 66:05–14,https://practicalchristian.substack.com/p/joy-where-shame-once-stood-isaiah,"God vindicates the trembling remnant and gives Zion a sudden, overflowing increase and comfort beyond all ordinary expectation.",2026-08-29,paid
No Temple Can Hold Him,Isaiah 66:01–04,https://practicalchristian.substack.com/p/no-temple-can-hold-him-isaiah-660104,"God rejects hollow sacrifice offered by self-willed hearts and looks instead to the humble, contrite worshiper who trembles at his word.",2026-08-29,paid
"Former Things Forgotten, All Things New",Isaiah 65:17–25,https://practicalchristian.substack.com/p/former-things-forgotten-all-things,"God’s new heavens and new earth bring lasting joy, restored life, secure labor, answered prayer, and peace across all creation.",2026-08-28,paid
A Blessing Kept in the Cluster,Isaiah 65:08–16,https://practicalchristian.substack.com/p/a-blessing-kept-in-the-cluster-isaiah,"God preserves a remnant for lasting joy while those who forsake him inherit a curse, each receiving a name that fits their destiny.",2026-08-28,paid
Here I Am to a Nation That Did Not Call,Isaiah 65:01–07,https://practicalchristian.substack.com/p/here-i-am-to-a-nation-that-did-not,God’s eager self-revelation exposes Israel’s stubborn pursuit of pagan worship and guarantees a reckoning already written before him.,2026-08-28,paid
We Are Still the Clay,Isaiah 64:08–12,https://practicalchristian.substack.com/p/we-are-still-the-clay-isaiah-640812,"Israel appeals to God’s fatherhood and creation, not its own merit, pleading that his anger not outlast the ruin of his temple.",2026-08-28,paid
Filthy Rags and a Hidden Face,Isaiah 64:05b–07,https://practicalchristian.substack.com/p/filthy-rags-and-a-hidden-face-isaiah,"Israel admits that its polluted righteousness and its silence before God, not any failure in him, are why his face has been hidden.",2026-08-28,paid
No God Like This One,Isaiah 64:01–05a,https://practicalchristian.substack.com/p/no-god-like-this-one-isaiah-640105a,Israel’s plea for a new theophany rests on what this God has always done for those who wait for him.,2026-08-28,paid
Rend the Heavens and Come Down,Isaiah 63:15–64:01,https://practicalchristian.substack.com/p/rend-the-heavens-and-come-down-isaiah,"Confessing a wandering heart and a trampled sanctuary, Israel appeals to the one unchanging fact left to them: the Lord alone is their Father.",2026-08-28,paid
